unit_number,time_cycle,setting_1,setting_2,setting_3,sensor_3,sensor_4,sensor_7,sensor_11,sensor_12,Degradation Classification
1,1,-0.0007,-0.0004,100.0,1589.7,1400.6,554.36,47.47,521.66,0
1,2,0.0019,-0.0003,100.0,1591.82,1403.14,553.75,47.49,522.28,0
1,3,-0.0043,0.0003,100.0,1587.99,1404.2,554.26,47.27,522.42,0
1,4,0.0007,0.0,100.0,1582.79,1401.87,554.45,47.13,522.86,0
1,5,-0.0019,-0.0002,100.0,1582.85,1406.22,554.0,47.28,522.19,0
1,6,-0.0043,-0.0001,100.0,1584.47,1398.37,554.67,47.16,521.68,0
1,7,0.001,0.0001,100.0,1592.32,1397.77,554.34,47.36,522.32,0
1,8,-0.0034,0.0003,100.0,1582.96,1400.97,553.85,47.24,522.47,0
1,9,0.0008,0.0001,100.0,1590.98,1394.8,553.69,47.29,521.79,0
1,10,-0.0033,0.0001,100.0,1591.24,1400.46,553.59,47.03,521.79,0
1,11,0.0018,-0.0003,100.0,1581.75,1400.64,554.54,47.15,521.4,0
1,12,0.0016,0.0002,100.0,1583.41,1400.15,554.52,47.18,521.8,0
1,13,-0.0019,0.0004,100.0,1582.19,1400.83,553.44,47.38,521.85,0
1,14,0.0009,-0.0,100.0,1592.95,1399.16,554.48,47.44,521.67,0
1,15,-0.0018,-0.0003,100.0,1583.82,1402.13,553.64,47.3,522.5,0
1,16,0.0006,0.0005,100.0,1587.98,1404.5,553.94,47.24,521.49,0
1,17,0.0002,0.0002,100.0,1584.96,1399.95,553.8,47.12,521.89,0
1,18,-0.0031,-0.0001,100.0,1591.04,1396.12,554.2,47.21,521.76,0
1,19,0.0032,-0.0003,100.0,1587.56,1400.35,554.18,47.4,521.89,0
1,20,-0.0037,0.0001,100.0,1581.11,1405.23,554.81,47.22,522.07,0
1,21,-0.0012,0.0001,100.0,1586.07,1398.13,554.08,47.15,522.42,0
1,22,0.0002,0.0,100.0,1592.93,1400.57,553.63,47.24,522.0,0
1,23,0.0034,-0.0003,100.0,1588.19,1394.75,553.98,47.25,521.52,0
1,24,-0.001,0.0003,100.0,1590.83,1398.81,553.49,47.44,522.13,0
1,25,0.0023,-0.0004,100.0,1594.1,1399.39,554.0,47.36,522.56,0
1,26,0.0,0.0002,100.0,1589.08,1396.07,554.11,47.26,522.28,0
1,27,-0.0012,-0.0004,100.0,1590.47,1401.84,554.07,47.37,522.0,0
1,28,-0.0024,0.0005,100.0,1582.84,1399.13,554.68,47.41,522.57,0
1,29,0.0012,-0.0001,100.0,1584.83,1400.99,554.25,47.24,522.41,0
1,30,-0.0022,0.0,100.0,1593.52,1396.08,554.37,47.4,522.19,0
1,31,0.0014,0.0005,100.0,1584.18,1396.9,554.13,47.41,521.95,0
1,32,0.0005,-0.0003,100.0,1591.38,1400.36,554.96,47.25,521.92,0
1,33,-0.0042,-0.0004,100.0,1588.4,1402.43,554.61,47.28,521.91,0
1,34,0.0015,-0.0001,100.0,1581.47,1400.48,554.3,47.47,521.7,0
1,35,0.0003,0.0002,100.0,1590.0,1403.0,554.3,47.31,521.75,0
1,36,-0.0004,-0.0002,100.0,1581.72,1405.54,554.53,47.25,522.32,0
1,37,-0.0004,-0.0,100.0,1579.11,1398.9,554.63,47.29,522.29,0
1,38,-0.0018,-0.0002,100.0,1589.6,1399.5,554.7,47.27,522.42,0
1,39,-0.003,-0.0001,100.0,1583.21,1400.69,553.97,47.12,522.23,0
1,40,-0.0,-0.0004,100.0,1582.08,1401.77,554.57,47.33,521.84,0
1,41,0.0033,0.0004,100.0,1591.31,1403.21,553.72,47.09,522.07,0
1,42,0.0005,-0.0004,100.0,1584.66,1401.38,553.94,47.49,522.23,0
1,43,-0.0027,0.0005,100.0,1591.52,1406.05,553.68,47.32,522.74,0
1,44,-0.0001,0.0002,100.0,1586.94,1401.2,554.15,47.45,522.3,0
1,45,-0.0013,-0.0,100.0,1582.42,1399.16,553.83,47.45,521.73,0
1,46,0.0003,0.0001,100.0,1588.29,1401.27,553.76,47.2,522.02,0
1,47,0.0,0.0005,100.0,1580.32,1402.89,554.38,47.22,521.84,0
1,48,0.0019,0.0001,100.0,1588.51,1399.16,554.02,47.4,521.91,1
1,49,-0.0014,0.0005,100.0,1584.35,1397.76,554.23,47.22,521.37,1
1,50,-0.0032,-0.0001,100.0,1588.49,1403.62,553.92,47.47,522.33,1
1,51,-0.001,0.0003,100.0,1585.54,1400.42,553.73,47.12,521.91,1
1,52,0.0018,-0.0001,100.0,1583.77,1395.57,553.04,47.07,522.1,1
1,53,0.0021,-0.0001,100.0,1579.82,1402.26,554.16,47.29,521.96,1
1,54,-0.0002,0.0005,100.0,1592.59,1401.2,553.95,47.38,522.44,1
1,55,0.0009,-0.0,100.0,1584.95,1401.58,554.45,47.4,522.11,1
1,56,0.0007,-0.0002,100.0,1586.33,1400.76,553.98,47.26,522.48,1
1,57,-0.0033,0.0,100.0,1583.67,1402.79,553.42,47.29,521.62,1
1,58,-0.0014,0.0001,100.0,1590.46,1397.99,554.14,47.26,522.21,1
1,59,-0.0006,0.0002,100.0,1596.72,1403.51,554.62,47.26,521.32,1
1,60,-0.001,-0.0002,100.0,1582.75,1403.07,554.0,47.41,522.49,1
1,61,0.0004,0.0005,100.0,1583.55,1405.52,554.09,47.31,522.34,1
1,62,0.0004,0.0001,100.0,1581.59,1399.54,554.45,47.28,522.19,1
1,63,0.0015,0.0002,100.0,1592.14,1395.38,553.48,47.51,521.56,1
1,64,0.0017,0.0002,100.0,1584.51,1400.11,553.88,47.45,521.82,1
1,65,-0.0,0.0005,100.0,1584.72,1403.24,553.97,47.56,521.54,1
1,66,-0.0007,-0.0004,100.0,1588.5,1399.52,554.0,47.14,521.76,1
1,67,0.0016,-0.0004,100.0,1590.22,1403.02,554.31,47.39,522.64,1
1,68,-0.0018,0.0,100.0,1582.06,1404.42,554.04,47.36,521.72,1
1,69,-0.0022,0.0005,100.0,1590.7,1401.24,554.65,47.41,522.22,1
1,70,-0.0005,0.0002,100.0,1584.02,1402.78,554.01,47.41,521.93,1
1,71,0.0016,-0.0003,100.0,1580.41,1403.09,554.06,47.3,521.72,1
1,72,-0.0017,0.0001,100.0,1579.25,1406.81,553.76,47.27,521.97,1
1,73,-0.0012,-0.0002,100.0,1592.04,1397.93,553.88,47.29,522.04,1
1,74,0.0027,0.0001,100.0,1584.65,1401.48,554.03,47.58,522.25,1
1,75,0.0009,-0.0004,100.0,1582.32,1394.82,553.6,47.22,521.77,1
1,76,-0.0015,0.0002,100.0,1589.21,1398.94,553.66,47.44,521.58,1
1,77,0.0022,0.0004,100.0,1586.3,1400.97,554.61,47.41,521.6,1
1,78,0.004,0.0002,100.0,1580.76,1404.1,553.47,47.4,522.28,1
1,79,0.0022,-0.0002,100.0,1582.46,1403.93,553.77,47.35,521.85,1
1,80,-0.0002,-0.0004,100.0,1591.96,1393.58,553.91,47.64,521.52,1
1,81,-0.0018,-0.0004,100.0,1584.82,1402.04,553.88,47.43,521.66,1
1,82,-0.0012,0.0001,100.0,1589.07,1399.17,554.18,47.25,521.95,1
1,83,0.0004,0.0005,100.0,1588.05,1406.38,553.49,47.22,521.93,1
1,84,0.0005,0.0002,100.0,1585.52,1406.6,553.91,47.38,521.54,1
1,85,0.0025,0.0003,100.0,1590.12,1405.96,554.4,47.36,522.3,1
1,86,-0.0012,0.0004,100.0,1588.8,1403.56,553.69,47.38,521.82,1
1,87,0.0,-0.0004,100.0,1586.69,1413.1,554.1,47.34,521.43,1
1,88,0.0029,0.0003,100.0,1581.29,1406.09,554.48,47.46,522.2,1
1,89,0.0008,-0.0001,100.0,1584.73,1402.22,553.91,47.46,521.55,1
1,90,0.0017,-0.0001,100.0,1584.38,1412.93,552.88,47.32,521.49,1
1,91,0.0025,-0.0004,100.0,1584.84,1404.76,553.54,47.32,521.55,1
1,92,0.001,-0.0002,100.0,1590.03,1400.77,553.81,47.45,521.91,1
1,93,0.0032,0.0002,100.0,1593.74,1408.48,554.07,47.46,521.43,1
1,94,-0.0021,0.0002,100.0,1583.27,1404.94,553.86,47.48,521.61,1
1,95,0.0019,0.0003,100.0,1577.6,1410.1,553.91,47.38,521.92,1
1,96,-0.0034,0.0001,100.0,1584.07,1395.16,553.34,47.39,521.66,1
1,97,0.0035,-0.0003,100.0,1595.77,1407.81,553.4,47.46,521.67,1
1,98,0.0006,0.0004,100.0,1591.11,1404.56,552.75,47.37,522.31,1
1,99,-0.0005,-0.0,100.0,1592.73,1406.13,553.76,47.4,521.42,1
1,100,-0.0021,-0.0003,100.0,1589.63,1411.35,554.22,47.64,521.55,1
1,101,0.0012,0.0003,100.0,1584.18,1403.41,553.37,47.62,521.89,1
1,102,0.0017,0.0005,100.0,1589.11,1403.42,553.42,47.49,521.38,1
1,103,-0.0013,0.0001,100.0,1581.27,1403.21,553.64,47.57,521.41,1
1,104,-0.0001,0.0001,100.0,1590.63,1406.25,553.66,47.34,522.38,1
1,105,0.0024,0.0004,100.0,1588.28,1403.22,553.11,47.31,521.81,1
1,106,0.0,0.0001,100.0,1589.05,1404.45,553.6,47.44,521.51,1
1,107,-0.0012,-0.0001,100.0,1595.13,1407.73,553.74,47.35,521.75,1
1,108,0.0008,0.0001,100.0,1585.91,1399.47,554.43,47.61,521.52,1
1,109,-0.0011,-0.0003,100.0,1586.45,1409.1,553.59,47.58,521.62,1
1,110,-0.0,0.0004,100.0,1590.01,1401.27,554.08,47.55,522.01,1
1,111,0.0008,0.0004,100.0,1584.38,1408.11,553.49,47.62,521.53,1
1,112,0.0005,0.0003,100.0,1586.46,1401.84,553.19,47.22,521.9,1
1,113,0.0007,0.0001,100.0,1590.85,1406.59,552.91,47.46,521.75,1
1,114,0.0003,0.0004,100.0,1588.42,1402.97,554.29,47.58,521.68,1
1,115,-0.0017,0.0005,100.0,1594.84,1406.6,554.13,47.43,521.36,1
1,116,-0.002,-0.0003,100.0,1580.31,1401.99,554.4,47.43,521.6,1
1,117,0.0005,0.0004,100.0,1589.77,1409.35,554.59,47.52,521.22,1
1,118,-0.0006,-0.0004,100.0,1585.67,1409.34,554.25,47.55,521.31,1
1,119,0.0013,0.0005,100.0,1596.8,1404.46,553.77,47.55,521.46,1
1,120,-0.0024,0.0005,100.0,1593.78,1407.68,553.66,47.6,521.34,1
1,121,-0.0033,0.0004,100.0,1593.56,1411.9,553.7,47.44,521.3,1
1,122,0.0026,-0.0001,100.0,1593.68,1413.97,553.43,47.6,520.92,1
1,123,0.0016,-0.0002,100.0,1586.66,1403.04,552.64,47.41,521.6,1
1,124,0.0025,0.0002,100.0,1587.14,1402.28,552.26,47.55,521.4,1
1,125,-0.0004,0.0005,100.0,1585.47,1406.42,552.44,47.63,521.57,1
1,126,0.0016,0.0001,100.0,1582.64,1418.5,553.72,47.49,521.35,1
1,127,-0.001,0.0002,100.0,1586.9,1399.49,553.81,47.63,521.34,1
1,128,-0.0006,0.0003,100.0,1593.87,1407.06,552.74,47.62,521.96,1
1,129,-0.0033,0.0003,100.0,1591.33,1408.42,552.42,47.61,522.02,1
1,130,-0.0007,0.0002,100.0,1585.9,1412.25,552.66,47.46,521.49,1
1,131,0.0002,-0.0001,100.0,1585.78,1413.25,553.7,47.7,521.45,1
1,132,0.0032,-0.0001,100.0,1596.06,1405.76,553.16,47.56,521.64,1
1,133,0.0032,-0.0002,100.0,1592.64,1410.11,553.82,47.57,521.23,1
1,134,-0.0014,0.0,100.0,1583.62,1402.67,553.2,47.75,521.52,1
1,135,-0.0017,0.0001,100.0,1585.55,1406.83,553.09,47.34,520.99,1
1,136,0.003,-0.0001,100.0,1584.72,1404.39,554.18,47.43,521.54,1
1,137,-0.0011,0.0,100.0,1594.69,1405.15,553.39,47.89,521.63,1
1,138,-0.0011,0.0001,100.0,1589.82,1413.34,552.91,47.4,521.57,1
1,139,-0.0014,0.0005,100.0,1592.28,1412.6,553.25,47.67,521.03,1
1,140,-0.0006,-0.0001,100.0,1590.89,1408.36,552.15,47.51,521.27,1
1,141,-0.0023,0.0005,100.0,1590.02,1415.25,553.45,47.49,521.06,1
1,142,0.0026,0.0002,100.0,1595.29,1413.42,553.11,47.59,520.44,1
1,143,-0.0005,-0.0003,100.0,1593.1,1404.21,553.62,47.52,520.98,1
1,144,0.0025,-0.0004,100.0,1591.89,1405.76,553.77,47.57,521.11,1
1,145,-0.0004,-0.0001,100.0,1594.92,1409.63,553.03,47.54,521.13,1
