unit_number;time_cycle;setting_1;setting_2;setting_3;sensor_2;sensor_3;sensor_4;sensor_7;sensor_8;sensor_9;sensor_13;sensor_14;sensor_20;Degradation Classification;RUL
1;1;4,5977E+16;1,66667E+16;0;1,83735E+16;4,06802E+15;3,09757E+16;7,26248E+13;2,42424E+16;1,09755E+16;2,05882E+16;1,99608E+15;7,13178E+15;0;166
1;2;6,09195E+15;25;0;2,83133E+15;4,53019E+16;3,52633E+15;6,28019E+14;2,12121E+15;1,00242E+16;2,79412E+15;1,62813E+16;6,66667E+15;0;166
1;3;2,52874E+15;75;0;3,43373E+16;3,69523E+16;3,70527E+14;7,10145E+15;2,72727E+15;1,40043E+15;2,20588E+15;1,71793E+15;6,27907E+15;0;166
1;4;5,4023E+15;5;0;3,43373E+16;2,56159E+16;3,31195E+15;7,40741E+15;3,18182E+16;1,24518E+15;2,94118E+16;1,74889E+16;5,73643E+15;0;166
1;5;3,90805E+15;3,33333E+15;0;3,49398E+16;2,57467E+14;4,04625E+15;6,68277E+15;2,42424E+16;1,4996E+16;2,35294E+16;1,74734E+15;5,89147E+15;0;166
1;6;2,52874E+15;4,16667E+16;0;2,68072E+15;2,92784E+15;2,72113E+16;7,76167E+15;1,81818E+16;1,25415E+15;2,20588E+15;1,69832E+16;6,51163E+14;0;166
1;7;5,57471E+15;5,83333E+15;0;3,8253E+16;4,6392E+16;2,61985E+15;7,23027E+15;1,81818E+16;1,67818E+15;2,20588E+15;1,67097E+15;7,44186E+15;0;166
1;8;3,04598E+15;75;0;4,06627E+16;2,59865E+15;3,16003E+16;6,44122E+15;1,51515E+15;8,55694E+14;2,20588E+15;1,60646E+16;6,43411E+15;0;166
1;9;5,45977E+15;5,83333E+15;0;2,74096E+16;4,34707E+14;2,1185E+16;6,18357E+15;2,27273E+16;1,10967E+16;25;1,32883E+16;7,05426E+15;0;166
1;10;3,10345E+16;5,83333E+15;0;1,50602E+16;4,40375E+15;3,07394E+15;6,02254E+15;2,27273E+16;1,34479E+16;2,64706E+16;1,51925E+15;6,27907E+15;0;166
1;11;6,03448E+14;25;0;3,22289E+16;2,33486E+16;3,10432E+16;7,55233E+14;2,27273E+16;1,25101E+16;1,91176E+15;2,09722E+15;6,20155E+15;0;166
1;12;5,91954E+15;6,66667E+15;0;2,56024E+15;2,69675E+16;3,02161E+16;7,52013E+15;2,87879E+15;1,24024E+16;2,05882E+16;1,77056E+16;7,13178E+15;0;166
1;13;3,90805E+15;8,33333E+15;0;5,60241E+15;2,43078E+16;3,13639E+16;5,781E+15;3,33333E+16;1,12582E+16;2,94118E+16;1,45319E+15;6,12403E+15;0;166
1;14;5,51724E+15;5;0;3,43373E+16;4,77654E+15;2,85449E+15;7,45572E+15;2,87879E+15;1,1505E+14;1,76471E+16;1,77985E+16;8,06202E+15;0;166
1;15;3,96552E+16;25;0;3,6747E+16;2,78613E+16;3,35584E+16;6,10306E+15;3,18182E+16;1,36812E+16;2,94118E+16;1,42533E+16;6,58915E+15;0;166
1;16;5,34483E+15;9,16667E+15;0;2,77108E+16;3,69305E+15;3,75591E+16;6,58615E+15;2,27273E+16;1,23889E+16;2,79412E+15;1,86655E+16;6,43411E+15;0;166
1;17;5,11494E+15;6,66667E+15;0;4,12651E+15;3,03466E+16;2,98785E+16;6,36071E+15;2,42424E+16;1,48928E+16;2,35294E+16;1,92641E+16;5,1938E+15;0;166
1;18;3,21839E+15;4,16667E+16;0;4,24699E+16;4,36015E+16;2,34132E+16;7,00483E+15;2,27273E+16;1,24832E+16;2,79412E+15;1,69213E+15;5,81395E+15;0;166
